"Week_floor","Verbrauch_AG","Verbrauch_AI_AR","Verbrauch_BE_JU","Verbrauch_BL_BS","Verbrauch_FR","Verbrauch_GE_VD","Verbrauch_GL","Verbrauch_GR","Verbrauch_LU","Verbrauch_NE","Verbrauch_OW_NW_UR","Verbrauch_SG","Verbrauch_SH_ZH","Verbrauch_SO","Verbrauch_SZ_ZG","Verbrauch_TG","Verbrauch_TI","Verbrauch_VS"
2020-01-05,103693.488119,11549.874919,162680.448782,70182.21321,56012.687677,151023.864311,13695.765425,52864.043463,71568.823071,12589.19684,19832.162691,76484.465967,196869.717946,42757.7792,37218.589847,38429.144061,65446.551704,71093.889774615
2020-01-12,106160.608649,11670.1394486,163560.711655,71552.004546,57023.152894,152323.838608,10456.865201,52357.904534,76471.705495,12946.036083,20378.934828,75329.8310074,198065.829393,44613.989919,37878.686445,38683.043051,67313.240828,71771.545724597
2020-01-19,113338.016489,12440.2800628,171373.165615,74597.311213,60151.758344,158956.09069,11575.862418,55383.375428,80523.13119,13180.391638,21570.837513,82206.6602472,208737.294782,47417.575221,40195.834781,40731.016752,68640.99386,74426.547906768
2020-01-26,103371.327912,11387.9536692,176013.182842,70912.362777,57049.560863,156275.48203,12991.884293,53260.199847,74854.866778,13043.955475,20013.19134,76536.2562408,197412.045877,44559.139304,37682.599602,36970.648035,66382.734659,71767.532625612
2020-02-02,102998.267316,11783.7825846,171061.005646,70717.841354,56006.12973,163533.282248,15606.53384,55589.968365,77319.281507,12969.930404,19948.531054,78136.0713894,195760.122682,42878.362964,37446.857335,38118.925636,66105.695649,71638.343581509
2020-02-09,103237.127334,11670.4065734,162801.8556,69582.587388,55417.532575,160267.308392,12798.994065,54061.858934,71477.402512,12846.592256,19033.894352,76647.1510676,191586.089067,42990.019514,36558.564127,37775.263047,64716.649703,71106.389375092
2020-02-16,100437.173057,11195.1750082,161231.005117,68678.92571,53504.257987,155861.910578,12422.261724,52878.784424,71982.00571,12693.572226,18597.707641,73443.0152698,186607.173203,43431.039159,35960.020158,36586.352367,62663.672348,69663.372262961
2020-02-23,99522.779299,11148.146142,162130.105758,67733.58876,53165.684538,161667.21753,14094.10526,53803.619273,73842.872492,12542.273338,18084.301898,74547.323614,188467.191152,41994.474647,35073.238549,36425.917727,62326.195562,69967.259715022
2020-03-01,102325.903359,11445.0664988,173213.009224,66439.900144,54982.557184,161618.856245,14484.626874,53668.597649,75427.989265,12811.022553,18814.883161,76597.9297442,192268.603267,42485.943475,36095.265077,37091.292312,63837.551375,70954.16959401
2020-03-08,100238.249706,11138.5577856,172648.249262,67201.56011,52868.574918,155989.488504,13490.911321,49539.329942,70046.649914,12583.688677,18469.836854,75026.4336494,188145.326328,41163.858325,35745.453555,35971.594296,60611.642686,67753.107497799
2020-03-15,92537.145216,9967.8915898,163706.416619,63776.804531,47605.908241,141511.05357,16133.068442,41689.797397,66712.973344,11046.18272,15583.070529,69669.9658602,171877.074542,38924.745144,31188.405849,33756.206373,54542.141299,55653.992699178
2020-03-22,98253.172397,10802.6582972,150358.367036,64027.796307,50606.483697,137841.993544,18042.219334,42742.290739,68885.995189,10206.796968,17307.828138,69758.8567448,178484.227873,40006.642239,33799.688185,35313.709018,50878.27806,55908.043088537
2020-03-29,96199.736557,10465.4623102,154999.444671,63413.017492,49034.015756,129479.516856,15428.768264,42027.988127,65984.875236,10055.479144,16597.44549,68301.6773918,174107.608525,38872.741757,32717.698721,34219.347188,49688.352353,54567.290175966
2020-04-05,81930.387356,8517.1617298,136221.088883,57239.374556,42254.67313,124152.987907,20138.794646,39720.211752,51745.006388,9497.863721,13423.665334,61741.2265522,153052.079428,34586.397266,27627.888225,29094.235376,45219.098315,47857.719454029
2020-04-12,78434.778937,8395.7677388,136172.082582,56123.874659,41312.832429,123856.477705,20615.70272,38226.779901,55305.358851,9506.418761,13006.355996,58705.4722662,149654.809077,35129.494604,26857.265954,28346.795659,45504.609386,44054.916798509
2020-04-19,81046.958373,8597.0720278,136978.806088,56089.860375,42006.885685,143208.052929,25339.946387,48140.572379,62635.733007,9862.26519,13303.936981,60528.7912952,150898.366173,35374.019172,27164.116835,29557.764491,49816.031795,42729.873705226
